station,date,rain_in
ASH,2010-09-30,0.1103
ASH,2010-10-01,1.1006
ASH,2010-10-02,0.05
ASH,2010-10-04,0.1005
ASH,2010-10-05,5e-4
ASH,2010-10-06,1.0404
ASH,2010-10-07,0.050499999999999996
ASH,2010-10-09,1e-4
ASH,2010-10-12,0.02
ASH,2010-10-15,1.7204
ASH,2010-10-16,0.030100000000000002
ASH,2010-10-17,2e-4
ASH,2010-10-21,0.0103
ASH,2010-10-24,6.000000000000001e-4
ASH,2010-10-26,0.0204
ASH,2010-10-27,0.16040000000000001
ASH,2010-10-28,0.02
ASH,2010-10-29,1e-4
ASH,2010-10-30,1e-4
ASH,2010-11-04,0.84
ASH,2010-11-05,0.3505
ASH,2010-11-07,0
ASH,2010-11-08,0.2904
ASH,2010-11-09,0.0506
ASH,2010-11-10,0.1605
ASH,2010-11-16,0.0104
ASH,2010-11-17,0.9903
ASH,2010-11-19,3.0000000000000003e-4
ASH,2010-11-23,0.0101
ASH,2010-11-26,0.3902
ASH,2010-11-27,1e-4
ASH,2010-12-01,0.2409
ASH,2010-12-02,0.3502
ASH,2010-12-04,2e-4
ASH,2010-12-06,5e-4
ASH,2010-12-07,3.0000000000000003e-4
ASH,2010-12-10,0
ASH,2010-12-11,3.0000000000000003e-4
ASH,2010-12-12,1.1003
ASH,2010-12-13,0.3605
ASH,2010-12-14,4e-4
ASH,2010-12-15,5e-4
ASH,2010-12-16,2e-4
ASH,2010-12-20,4e-4
ASH,2010-12-21,0.001
ASH,2010-12-22,8e-4
ASH,2010-12-23,0.0013000000000000002
ASH,2010-12-26,9.000000000000001e-4
ASH,2010-12-27,0.0022
ASH,2010-12-29,0.01
ASH,2011-01-01,0
ASH,2011-01-02,0.0303
ASH,2011-01-07,3.0000000000000003e-4
ASH,2011-01-08,0.0011
ASH,2011-01-12,0.0019
ASH,2011-01-13,4e-4
ASH,2011-01-14,1e-4
ASH,2011-01-15,3.0000000000000003e-4
ASH,2011-01-16,3.0000000000000003e-4
ASH,2011-01-18,0.0013000000000000002
ASH,2011-01-19,0.4008
ASH,2011-01-20,7e-4
ASH,2011-01-21,0.0016
ASH,2011-01-23,2e-4
ASH,2011-01-25,0.001
ASH,2011-01-26,3.0000000000000003e-4
ASH,2011-01-27,9.000000000000001e-4
ASH,2011-01-28,0.06
ASH,2011-01-29,0.0605
ASH,2011-01-30,0.01
ASH,2011-02-01,0.0013000000000000002
ASH,2011-02-02,0.0021000000000000003
ASH,2011-02-03,0.0014
ASH,2011-02-04,1e-4
ASH,2011-02-05,0.1305
ASH,2011-02-06,0.55
ASH,2011-02-07,1e-4
ASH,2011-02-08,0.2314
ASH,2011-02-09,1e-4
ASH,2011-02-12,1e-4
ASH,2011-02-13,2e-4
ASH,2011-02-14,1e-4
ASH,2011-02-15,1e-4
ASH,2011-02-17,0.02
ASH,2011-02-19,7e-4
ASH,2011-02-20,2e-4
ASH,2011-02-21,9.000000000000001e-4
ASH,2011-02-24,2e-4
ASH,2011-02-25,0.611
ASH,2011-02-26,0.0604
ASH,2011-02-27,0.0018000000000000002
ASH,2011-02-28,0.1407
ASH,2011-03-01,0.19
ASH,2011-03-02,0.27
ASH,2011-03-03,2e-4
ASH,2011-03-05,0.0103
ASH,2011-03-06,0.31070000000000003
ASH,2011-03-07,1.6405
ASH,2011-03-11,0.6003000000000001
ASH,2011-03-12,0.01
ASH,2011-03-13,2e-4
ASH,2011-03-14,1e-4
ASH,2011-03-16,0.7303999999999999
ASH,2011-03-18,1e-4
ASH,2011-03-19,1e-4
ASH,2011-03-21,0.1303
ASH,2011-03-22,0.1304
ASH,2011-03-24,0.001
ASH,2011-03-25,1e-4
ASH,2011-03-31,1e-4
ASH,2011-04-01,0.5616
ASH,2011-04-02,5e-4
ASH,2011-04-04,0.2306
ASH,2011-04-05,0.0308
ASH,2011-04-10,1e-4
ASH,2011-04-11,0.0202
ASH,2011-04-13,0.6206
ASH,2011-04-14,3.0000000000000003e-4
ASH,2011-04-16,1e-4
ASH,2011-04-17,1.2204
ASH,2011-04-18,0.0404
ASH,2011-04-19,0.061200000000000004
ASH,2011-04-20,0.050300000000000004
ASH,2011-04-23,0.3102
ASH,2011-04-24,1e-4
ASH,2011-04-25,0.0207
ASH,2011-04-26,0.0402
ASH,2011-04-27,0.13
ASH,2011-04-28,0.1101
ASH,2011-05-04,0.3701
ASH,2011-05-05,0.0104
ASH,2011-05-07,0.3204
ASH,2011-05-08,2e-4
ASH,2011-05-09,1e-4
