date,rain_in
2010-09-30,0
2010-10-01,0
2010-10-02,0
2010-10-03,0
2010-10-04,0
2010-10-05,0
2010-10-06,0
2010-10-07,0
2010-10-08,0
2010-10-09,0
2010-10-10,0
2010-10-11,0
2010-10-12,0.33
2010-10-13,0.0502
2010-10-14,0.03
2010-10-15,0
2010-10-16,0
2010-10-17,0
2010-10-18,0
2010-10-19,1e-4
2010-10-20,0.0501
2010-10-21,0
2010-10-22,0
2010-10-23,0
2010-10-24,0
2010-10-25,1.51
2010-10-26,0.5201
2010-10-27,1e-4
2010-10-28,0
2010-10-29,0
2010-10-30,0
2010-10-31,0
2010-11-01,0
2010-11-02,0
2010-11-03,0.1403
2010-11-04,0.09
2010-11-05,1e-4
2010-11-06,0.01
2010-11-07,0
2010-11-08,0
2010-11-09,0
2010-11-10,0
2010-11-11,0
2010-11-12,0
2010-11-13,1e-4
2010-11-14,0.1703
2010-11-15,0
2010-11-16,0.9103
2010-11-17,0.02
2010-11-18,0
2010-11-19,0
2010-11-21,0
2010-11-22,0
2010-11-23,1.0402
2010-11-24,0.0601
2010-11-25,0.09
2010-11-26,0.4002
2010-11-27,0
2010-11-28,0
2010-11-29,0.24000000000000002
2010-11-30,1.9602
2010-12-01,0
2010-12-02,0
2010-12-03,0
2010-12-04,2e-4
2010-12-05,0.0011
2010-12-06,6.000000000000001e-4
2010-12-07,2e-4
2010-12-08,0
2010-12-09,0
2010-12-10,0
2010-12-11,0.4501
2010-12-12,0.7110000000000001
2010-12-13,0.011300000000000001
2010-12-14,0
2010-12-15,3.0000000000000003e-4
2010-12-16,0.2802
2010-12-17,0
2010-12-18,0
2010-12-20,0
2010-12-21,2e-4
2010-12-22,0.0303
2010-12-23,0
2010-12-24,2e-4
2010-12-25,0.1413
2010-12-26,0.0023
2010-12-27,3.0000000000000003e-4
2010-12-28,0
2010-12-29,0.0303
2010-12-30,0.09
2010-12-31,0
2011-01-01,0.8005
2011-01-05,0.07010000000000001
2011-01-06,0.0101
2011-01-07,4e-4
2011-01-08,0.011300000000000001
2011-01-10,0.2406
2011-01-11,0.0015
2011-01-12,0.0017000000000000001
2011-01-13,9.000000000000001e-4
2011-01-17,5e-4
2011-01-18,0.3605
2011-01-19,0.0206
2011-01-20,0.0702
2011-01-21,0.0102
2011-01-23,0
2011-01-24,3.0000000000000003e-4
2011-01-25,0.2706
2011-01-26,0.4003
2011-01-28,0
2011-01-31,0.0504
2011-02-01,0.8302
2011-02-02,0.0205
2011-02-04,1e-4
2011-02-05,0.051000000000000004
2011-02-07,0.3504
2011-02-08,3.0000000000000003e-4
2011-02-09,0.1101
2011-02-10,0.0302
2011-02-18,0.0301
2011-02-19,0.0302
2011-02-20,2e-4
2011-02-21,1e-4
2011-02-22,0.25
2011-02-24,1.21
2011-02-25,0.7004
2011-02-27,0.0402
2011-02-28,1.7604
2011-03-01,0
2011-03-04,0
2011-03-05,1.1007
2011-03-06,0.19
