date,value,qualifiers
2010-09-30,5570,A
2010-10-01,5510,A
2010-10-02,4820,A
2010-10-03,5220,A
2010-10-04,4830,A
2010-10-05,5180,A
2010-10-06,4680,A
2010-10-07,4300,A
2010-10-08,4200,A
2010-10-09,3790,A
2010-10-10,4060,A
2010-10-11,4000,A
2010-10-12,4060,A
2010-10-13,3700,A
2010-10-14,4190,A
2010-10-15,4550,A
2010-10-16,4730,A
2010-10-17,4940,A
2010-10-18,4580,A
2010-10-19,4480,A
2010-10-20,5000,A
2010-10-21,4610,A
2010-10-22,4630,A
2010-10-23,4300,A
2010-10-24,4350,A
2010-10-25,5160,A
2010-10-26,6250,A
2010-10-27,6170,A
2010-10-28,4800,A
2010-10-29,4560,A
2010-10-30,4480,A
2010-10-31,4470,A
2010-11-01,4280,A
2010-11-02,5200,A
2010-11-03,4350,A
2010-11-04,4480,A
2010-11-05,4700,A
2010-11-06,4590,A
2010-11-07,4030,A
2010-11-08,4510,A
2010-11-09,3820,A
2010-11-10,3560,A
2010-11-11,4580,A
2010-11-12,4520,A
2010-11-13,4100,A
2010-11-14,4090,A
2010-11-15,3400,A
2010-11-16,3750,A
2010-11-17,3850,A
2010-11-18,5010,A
2010-11-19,5780,A
2010-11-20,6700,A
2010-11-21,7650,A
2010-11-22,8650,A
2010-11-23,9210,A
2010-11-24,9180,A
2010-11-25,13000,A
2010-11-26,12900,A
2010-11-27,12700,A
2010-11-28,11500,A
2010-11-29,10600,A
2010-11-30,11900,A
2010-12-01,26200,A
2010-12-02,42900,A
2010-12-03,41700,A
2010-12-04,37500,A
2010-12-05,37500,A
2010-12-06,35300,A
2010-12-07,31000,A
2010-12-08,31500,A
2010-12-09,37200,A
2010-12-10,34200,A
2010-12-11,31600,A
2010-12-12,29300,A
2010-12-13,31000,A
2010-12-14,31300,A
2010-12-15,33800,A
2010-12-16,32000,A
2010-12-17,30400,A
2010-12-18,31300,A
2010-12-19,33700,A
2010-12-20,30200,A
2010-12-21,30300,A
2010-12-22,30600,A
2010-12-23,29200,A
2010-12-24,26500,A
2010-12-25,30200,A
2010-12-26,21400,A
2010-12-27,15900,A
2010-12-28,14500,A
2010-12-29,13700,A
2010-12-30,14900,A
2010-12-31,13400,A
2011-01-01,14400,A
2011-01-02,30500,A
2011-01-03,36200,A
2011-01-04,34300,A
2011-01-05,35300,A
2011-01-06,34200,A
2011-01-07,34000,A
2011-01-08,32700,A
2011-01-09,31300,A
2011-01-10,29200,A
2011-01-11,23200,A
2011-01-12,17900,A
2011-01-13,17700,A
2011-01-14,16400,A
2011-01-15,15200,A
2011-01-16,12900,A
2011-01-17,13900,A
2011-01-18,11300,A
2011-01-19,10700,A
2011-01-20,11700,A
2011-01-21,11700,A
2011-01-22,14400,A
2011-01-23,13400,A
2011-01-24,11500,A
2011-01-25,9490,A
2011-01-26,9470,A
2011-01-27,12300,A
2011-01-28,16500,A
2011-01-29,15000,A
2011-01-30,17000,A
2011-01-31,22900,A
2011-02-01,29700,A
2011-02-02,30900,A
2011-02-03,31000,A
2011-02-04,27200,A
2011-02-05,21000,A
2011-02-06,20000,A
2011-02-07,15000,A
2011-02-08,11200,A
2011-02-09,10700,A
2011-02-10,11000,A
2011-02-11,11500,A
2011-02-12,11400,A
2011-02-13,11400,A
2011-02-14,11800,A
2011-02-15,12000,A
2011-02-16,11900,A
2011-02-17,8630,A
2011-02-18,7990,A
2011-02-19,8710,A
2011-02-20,9000,A
2011-02-21,9480,A
2011-02-22,10200,A
2011-02-23,11000,A
2011-02-24,23900,A
2011-02-25,52200,A
2011-02-26,54600,A
2011-02-27,41600,A
2011-02-28,45400,A
2011-03-01,66900,A
2011-03-02,67500,A
2011-03-03,65100,A
2011-03-04,54700,A
2011-03-05,46500,A
2011-03-06,35900,A
2011-03-07,43600,A
2011-03-08,52900,A
2011-03-09,55200,A
2011-03-10,52100,A
2011-03-11,52700,A
2011-03-12,53300,A
2011-03-13,53700,A
2011-03-14,52700,A
2011-03-15,50200,A
2011-03-16,51100,A
2011-03-17,50200,A
2011-03-18,49400,A
2011-03-19,48000,A
2011-03-20,48500,A
2011-03-21,47100,A
2011-03-22,47200,A
2011-03-23,47000,A
2011-03-24,46100,A
2011-03-25,47600,A
2011-03-26,45100,A
2011-03-27,45200,A
2011-03-28,41100,A
2011-03-29,34700,A
2011-03-30,35600,A
2011-03-31,39500,A
2011-04-01,41700,A
2011-04-02,45900,A
2011-04-03,46700,A
2011-04-04,45500,A
2011-04-05,51200,A
2011-04-06,54800,A
2011-04-07,55500,A
2011-04-08,51600,A
2011-04-09,45600,A
2011-04-10,46100,A
2011-04-11,45900,A
2011-04-12,48600,A
2011-04-13,55800,A
2011-04-14,63300,A
2011-04-15,63500,A
2011-04-16,63000,A
2011-04-17,64500,A
2011-04-18,65700,A
2011-04-19,61800,A
2011-04-20,56600,A
2011-04-21,48100,A
2011-04-22,44200,A
2011-04-23,42800,A
2011-04-24,42300,A
2011-04-25,43100,A
2011-04-26,45200,A
2011-04-27,52300,A
2011-04-28,60200,A
2011-04-29,55700,A
2011-04-30,25900,A
2011-05-01,13600,A
2011-05-02,10600,A
2011-05-03,16200,A
2011-05-04,24900,A
2011-05-05,34900,A
2011-05-06,37400,A
2011-05-07,42100,A
2011-05-08,44700,A
2011-05-09,55100,A
2011-05-10,59700,A
2011-05-11,59900,A
2011-05-12,58000,A
2011-05-13,55000,A
2011-05-14,52800,A
2011-05-15,52900,A
2011-05-16,52800,A
2011-05-17,51700,A
2011-05-18,49100,A
2011-05-19,47100,A
2011-05-20,47100,A
2011-05-21,45700,A
2011-05-22,44200,A
2011-05-23,42300,A
2011-05-24,41700,A
2011-05-25,41200,A
2011-05-26,49800,A
2011-05-27,52000,A
2011-05-28,44700,A
2011-05-29,37000,A
2011-05-30,35500,A
2011-05-31,34200,A
2011-06-01,29700,A
2011-06-02,26500,A
2011-06-03,26500,A
2011-06-04,25900,A
2011-06-05,25600,A
2011-06-06,26600,A
2011-06-07,29800,A
2011-06-08,29400,A
2011-06-09,30000,A
2011-06-10,28000,A
2011-06-11,21200,A
2011-06-12,18900,A
2011-06-13,20300,A
2011-06-14,26800,A
2011-06-15,22000,A
2011-06-16,21500,A
2011-06-17,22800,A
2011-06-18,22400,A
2011-06-19,14700,A
2011-06-20,11600,A
2011-06-21,16700,A
2011-06-22,21000,A
2011-06-23,29300,A
2011-06-24,32700,A
2011-06-25,33900,A
2011-06-26,34200,A
2011-06-27,33500,A
2011-06-28,32100,A
2011-06-29,36200,A
2011-06-30,35500,A
2011-07-01,35100,A
2011-07-02,27100,A
2011-07-03,15200,A
2011-07-04,14100,A
2011-07-05,8290,A
2011-07-06,6760,A
2011-07-07,6050,A
2011-07-08,5790,A
2011-07-09,5610,A
2011-07-10,5460,A
2011-07-11,5070,A
2011-07-12,5950,A
2011-07-13,6700,A
2011-07-14,7600,A
2011-07-15,7200,A
2011-07-16,6730,A
2011-07-17,6310,A
2011-07-18,6740,A
2011-07-19,7590,A
2011-07-20,8230,A
2011-07-21,9560,A
2011-07-22,8560,A
2011-07-23,8160,A
2011-07-24,8570,A
2011-07-25,8300,A
2011-07-26,8840,A
2011-07-27,8170,A
2011-07-28,8160,A
2011-07-29,7900,A
2011-07-30,7440,A
2011-07-31,7610,A
2011-08-01,7380,A
2011-08-02,7940,A
2011-08-03,8970,A
2011-08-04,9830,A
2011-08-05,9320,A
2011-08-06,8680,A
2011-08-07,8630,A
2011-08-08,9420,A
2011-08-09,10500,A
2011-08-10,10700,A
2011-08-11,10800,A
2011-08-12,10000,A
2011-08-13,8170,A
2011-08-14,6830,A
2011-08-15,7040,A
2011-08-16,7050,A
2011-08-17,6520,A
2011-08-18,6430,A
2011-08-19,6470,A
2011-08-20,5990,A
2011-08-21,6160,A
2011-08-22,5830,A
2011-08-23,6470,A
2011-08-24,6400,A
2011-08-25,6010,A
2011-08-26,6030,A
2011-08-27,6050,A
2011-08-28,6160,A
2011-08-29,5880,A
2011-08-30,5840,A
2011-08-31,5460,A
2011-09-01,5350,A
2011-09-02,5380,A
2011-09-03,5360,A
2011-09-04,5580,A
2011-09-05,8880,A
2011-09-06,18300,A
2011-09-07,23000,A
2011-09-08,13900,A
2011-09-09,11800,A
2011-09-10,10500,A
2011-09-11,10300,A
2011-09-12,10600,A
2011-09-13,9030,A
2011-09-14,8260,A
2011-09-15,7550,A
2011-09-16,6970,A
2011-09-17,7620,A
2011-09-18,7690,A
2011-09-19,8260,A
2011-09-20,7070,A
2011-09-21,6270,A
2011-09-22,6230,A
2011-09-23,6790,A
2011-09-24,6610,A
2011-09-25,6890,A
2011-09-26,8400,A
2011-09-27,8310,A
2011-09-28,8190,A
2011-09-29,7920,A
2011-09-30,6420,A
2011-10-01,6420,A
2011-10-02,6450,A
2011-10-03,6780,A
2011-10-04,6800,A
2011-10-05,6930,A
2011-10-06,6880,A
2011-10-07,6310,A
2011-10-08,6420,A
2011-10-09,5710,A
2011-10-10,5810,A
2011-10-11,6430,A
2011-10-12,5770,A
2011-10-13,5120,A
2011-10-14,6040,A
2011-10-15,5030,A
