date,value,qualifiers,station,rain_in
2010-09-30,5570,A,ASH,0.1103
2010-09-30,5570,A,BNA,0
2010-09-30,5570,A,MRB,2.8202000000000003
2010-10-01,5510,A,ASH,1.1006
2010-10-01,5510,A,BNA,0
2010-10-01,5510,A,MRB,0.6501
2010-10-02,4820,A,ASH,0.05
2010-10-02,4820,A,BNA,0
2010-10-03,5220,A,BNA,0
2010-10-04,4830,A,ASH,0.1005
2010-10-04,4830,A,BNA,0
2010-10-04,4830,A,MRB,0.37
2010-10-05,5180,A,ASH,5e-4
2010-10-05,5180,A,BNA,0
2010-10-06,4680,A,ASH,1.0404
2010-10-06,4680,A,BNA,0
2010-10-06,4680,A,MRB,4e-4
2010-10-07,4300,A,ASH,0.05049999999999999
2010-10-07,4300,A,BNA,0
2010-10-07,4300,A,MRB,2e-4
2010-10-08,4200,A,BNA,0
2010-10-09,3790,A,ASH,1e-4
2010-10-09,3790,A,BNA,0
2010-10-10,4060,A,BNA,0
2010-10-11,4000,A,BNA,0
2010-10-12,4060,A,ASH,0.02
2010-10-12,4060,A,BNA,0.33
2010-10-12,4060,A,CKV,0.0202
2010-10-13,3700,A,BNA,0.0502
2010-10-13,3700,A,CKV,1e-4
2010-10-14,4190,A,BNA,0.03
2010-10-14,4190,A,CKV,0.0101
2010-10-14,4190,A,MRB,0.6802
2010-10-15,4550,A,ASH,1.7204
2010-10-15,4550,A,BNA,0
2010-10-15,4550,A,MRB,1e-4
2010-10-16,4730,A,ASH,0.0301
2010-10-16,4730,A,BNA,0
2010-10-17,4940,A,ASH,2e-4
2010-10-17,4940,A,BNA,0
2010-10-17,4940,A,MRB,0
2010-10-18,4580,A,BNA,0
2010-10-18,4580,A,CKV,0
2010-10-18,4580,A,MRB,1e-4
2010-10-19,4480,A,BNA,1e-4
2010-10-19,4480,A,MRB,0.1801
2010-10-20,5000,A,BNA,0.0501
2010-10-21,4610,A,ASH,0.0103
2010-10-21,4610,A,BNA,0
2010-10-21,4610,A,MRB,0.01
2010-10-22,4630,A,BNA,0
